scenario_id,node_index,disrupted_node,disruption_type,severity,target_delay
SC001,10,P001,Port Strike,High,30
SC002,10,P001,Port Closure,High,40
SC003,10,P001,Port Congestion,Medium,18
SC004,10,P001,Port Strike,Medium,20
SC005,10,P001,Port Congestion,Low,10
SC006,11,P002,Port Strike,High,25
SC007,11,P002,Port Closure,High,35
SC008,11,P002,Port Congestion,Medium,16
SC009,11,P002,Port Strike,Medium,18
SC010,11,P002,Port Congestion,Low,8
SC011,12,P003,Port Closure,High,45
SC012,12,P003,Port Strike,High,38
SC013,12,P003,Port Congestion,Medium,22
SC014,12,P003,Port Strike,Medium,24
SC015,12,P003,Port Congestion,Low,12
SC016,13,P004,Port Closure,High,40
SC017,13,P004,Port Strike,High,32
SC018,13,P004,Port Congestion,Medium,20
SC019,13,P004,Port Strike,Medium,18
SC020,13,P004,Port Congestion,Low,9
SC021,14,P005,Port Strike,High,35
SC022,14,P005,Port Closure,High,42
SC023,14,P005,Port Congestion,Medium,21
SC024,14,P005,Port Strike,Medium,19
SC025,14,P005,Port Congestion,Low,7
SC026,10,P001,Port Closure,Medium,26
SC027,11,P002,Port Strike,Low,12
SC028,12,P003,Port Closure,Medium,28
SC029,13,P004,Port Strike,Low,11
SC030,14,P005,Port Closure,Medium,27
