id,type,country,capacity,delay,risk_value,disruption_value
S001,Supplier,India,80,0,0,0
S002,Supplier,China,90,0,0,0
S003,Supplier,Germany,75,0,0,0
S004,Supplier,Japan,85,0,0,0
S005,Supplier,USA,70,0,0,0
M001,Manufacturer,USA,100,0,0,0
M002,Manufacturer,Germany,90,0,0,0
M003,Manufacturer,China,95,0,0,0
M004,Manufacturer,India,85,0,0,0
M005,Manufacturer,Canada,80,0,0,0
P001,Port,Netherlands,100,0,0,0
P002,Port,Germany,95,0,0,0
P003,Port,Singapore,100,0,0,0
P004,Port,India,90,0,0,0
P005,Port,USA,100,0,0,0
W001,Warehouse,Netherlands,80,0,0,0
W002,Warehouse,Germany,75,0,0,0
W003,Warehouse,Singapore,85,0,0,0
W004,Warehouse,India,70,0,0,0
W005,Warehouse,USA,90,0,0,0
D001,Distributor,USA,80,0,0,0
D002,Distributor,Germany,75,0,0,0
D003,Distributor,Singapore,85,0,0,0
D004,Distributor,India,70,0,0,0
D005,Distributor,Canada,75,0,0,0
R001,Retailer,USA,70,0,0,0
R002,Retailer,Germany,65,0,0,0
R003,Retailer,Singapore,75,0,0,0
R004,Retailer,India,60,0,0,0
R005,Retailer,Canada,65,0,0,0
