scenario_id,node_index,node_id,hop_distance,target_delay
SC001,0,S001,-1,0.0
SC001,1,S002,-1,0.0
SC001,2,S003,-1,0.0
SC001,3,S004,-1,0.0
SC001,4,S005,-1,0.0
SC001,5,M001,-1,0.0
SC001,6,M002,-1,0.0
SC001,7,M003,-1,0.0
SC001,8,M004,-1,0.0
SC001,9,M005,-1,0.0
SC001,10,P001,0,30.0
SC001,11,P002,-1,0.0
SC001,12,P003,-1,0.0
SC001,13,P004,-1,0.0
SC001,14,P005,-1,0.0
SC001,15,W001,1,21.0
SC001,16,W002,-1,0.0
SC001,17,W003,-1,0.0
SC001,18,W004,-1,0.0
SC001,19,W005,-1,0.0
SC001,20,D001,-1,0.0
SC001,21,D002,2,13.5
SC001,22,D003,-1,0.0
SC001,23,D004,-1,0.0
SC001,24,D005,-1,0.0
SC001,25,R001,-1,0.0
SC001,26,R002,3,7.5
SC001,27,R003,-1,0.0
SC001,28,R004,-1,0.0
SC001,29,R005,-1,0.0
SC002,0,S001,-1,0.0
SC002,1,S002,-1,0.0
SC002,2,S003,-1,0.0
SC002,3,S004,-1,0.0
SC002,4,S005,-1,0.0
SC002,5,M001,-1,0.0
SC002,6,M002,-1,0.0
SC002,7,M003,-1,0.0
SC002,8,M004,-1,0.0
SC002,9,M005,-1,0.0
SC002,10,P001,-1,0.0
SC002,11,P002,0,25.0
SC002,12,P003,-1,0.0
SC002,13,P004,-1,0.0
SC002,14,P005,-1,0.0
SC002,15,W001,-1,0.0
SC002,16,W002,1,17.5
SC002,17,W003,-1,0.0
SC002,18,W004,-1,0.0
SC002,19,W005,-1,0.0
SC002,20,D001,-1,0.0
SC002,21,D002,2,11.25
SC002,22,D003,-1,0.0
SC002,23,D004,-1,0.0
SC002,24,D005,-1,0.0
SC002,25,R001,-1,0.0
SC002,26,R002,3,6.25
SC002,27,R003,-1,0.0
SC002,28,R004,-1,0.0
SC002,29,R005,-1,0.0
SC003,0,S001,-1,0.0
SC003,1,S002,-1,0.0
SC003,2,S003,-1,0.0
SC003,3,S004,-1,0.0
SC003,4,S005,-1,0.0
SC003,5,M001,-1,0.0
SC003,6,M002,-1,0.0
SC003,7,M003,-1,0.0
SC003,8,M004,-1,0.0
SC003,9,M005,-1,0.0
SC003,10,P001,-1,0.0
SC003,11,P002,-1,0.0
SC003,12,P003,0,45.0
SC003,13,P004,-1,0.0
SC003,14,P005,-1,0.0
SC003,15,W001,-1,0.0
SC003,16,W002,-1,0.0
SC003,17,W003,1,31.5
SC003,18,W004,-1,0.0
SC003,19,W005,-1,0.0
SC003,20,D001,-1,0.0
SC003,21,D002,-1,0.0
SC003,22,D003,2,20.25
SC003,23,D004,-1,0.0
SC003,24,D005,-1,0.0
SC003,25,R001,-1,0.0
SC003,26,R002,-1,0.0
SC003,27,R003,3,11.25
SC003,28,R004,-1,0.0
SC003,29,R005,-1,0.0
SC004,0,S001,-1,0.0
SC004,1,S002,-1,0.0
SC004,2,S003,-1,0.0
SC004,3,S004,-1,0.0
SC004,4,S005,-1,0.0
SC004,5,M001,-1,0.0
SC004,6,M002,-1,0.0
SC004,7,M003,-1,0.0
SC004,8,M004,-1,0.0
SC004,9,M005,-1,0.0
SC004,10,P001,-1,0.0
SC004,11,P002,-1,0.0
SC004,12,P003,-1,0.0
SC004,13,P004,0,20.0
SC004,14,P005,-1,0.0
SC004,15,W001,-1,0.0
SC004,16,W002,-1,0.0
SC004,17,W003,-1,0.0
SC004,18,W004,1,14.0
SC004,19,W005,-1,0.0
SC004,20,D001,-1,0.0
SC004,21,D002,-1,0.0
SC004,22,D003,-1,0.0
SC004,23,D004,2,9.0
SC004,24,D005,-1,0.0
SC004,25,R001,-1,0.0
SC004,26,R002,-1,0.0
SC004,27,R003,-1,0.0
SC004,28,R004,3,5.0
SC004,29,R005,-1,0.0
SC005,0,S001,-1,0.0
SC005,1,S002,-1,0.0
SC005,2,S003,-1,0.0
SC005,3,S004,-1,0.0
SC005,4,S005,-1,0.0
SC005,5,M001,-1,0.0
SC005,6,M002,-1,0.0
SC005,7,M003,-1,0.0
SC005,8,M004,-1,0.0
SC005,9,M005,-1,0.0
SC005,10,P001,-1,0.0
SC005,11,P002,-1,0.0
SC005,12,P003,-1,0.0
SC005,13,P004,-1,0.0
SC005,14,P005,0,15.0
SC005,15,W001,-1,0.0
SC005,16,W002,-1,0.0
SC005,17,W003,-1,0.0
SC005,18,W004,-1,0.0
SC005,19,W005,1,10.5
SC005,20,D001,2,6.75
SC005,21,D002,-1,0.0
SC005,22,D003,-1,0.0
SC005,23,D004,-1,0.0
SC005,24,D005,-1,0.0
SC005,25,R001,3,3.75
SC005,26,R002,-1,0.0
SC005,27,R003,-1,0.0
SC005,28,R004,-1,0.0
SC005,29,R005,-1,0.0
SC006,0,S001,-1,0.0
SC006,1,S002,-1,0.0
SC006,2,S003,-1,0.0
SC006,3,S004,-1,0.0
SC006,4,S005,-1,0.0
SC006,5,M001,-1,0.0
SC006,6,M002,-1,0.0
SC006,7,M003,-1,0.0
SC006,8,M004,-1,0.0
SC006,9,M005,-1,0.0
SC006,10,P001,0,20.0
SC006,11,P002,-1,0.0
SC006,12,P003,-1,0.0
SC006,13,P004,-1,0.0
SC006,14,P005,-1,0.0
SC006,15,W001,1,14.0
SC006,16,W002,-1,0.0
SC006,17,W003,-1,0.0
SC006,18,W004,-1,0.0
SC006,19,W005,-1,0.0
SC006,20,D001,-1,0.0
SC006,21,D002,2,9.0
SC006,22,D003,-1,0.0
