scenario_id,node_index,node_id,target_delay
SC001,0,S001,0.0
SC001,1,S002,0.0
SC001,2,S003,0.0
SC001,3,S004,0.0
SC001,4,S005,0.0
SC001,5,M001,0.0
SC001,6,M002,0.0
SC001,7,M003,0.0
SC001,8,M004,0.0
SC001,9,M005,0.0
SC001,10,P001,30.0
SC001,11,P002,0.0
SC001,12,P003,0.0
SC001,13,P004,0.0
SC001,14,P005,0.0
SC001,15,W001,24.0
SC001,16,W002,0.0
SC001,17,W003,0.0
SC001,18,W004,0.0
SC001,19,W005,0.0
SC001,20,D001,0.0
SC001,21,D002,19.2
SC001,22,D003,0.0
SC001,23,D004,0.0
SC001,24,D005,0.0
SC001,25,R001,0.0
SC001,26,R002,15.36
SC001,27,R003,0.0
SC001,28,R004,0.0
SC001,29,R005,0.0
SC002,0,S001,0.0
SC002,1,S002,0.0
SC002,2,S003,0.0
SC002,3,S004,0.0
SC002,4,S005,0.0
SC002,5,M001,0.0
SC002,6,M002,0.0
SC002,7,M003,0.0
SC002,8,M004,0.0
SC002,9,M005,0.0
SC002,10,P001,40.0
SC002,11,P002,0.0
SC002,12,P003,0.0
SC002,13,P004,0.0
SC002,14,P005,0.0
SC002,15,W001,32.0
SC002,16,W002,0.0
SC002,17,W003,0.0
SC002,18,W004,0.0
SC002,19,W005,0.0
SC002,20,D001,0.0
SC002,21,D002,25.6
SC002,22,D003,0.0
SC002,23,D004,0.0
SC002,24,D005,0.0
SC002,25,R001,0.0
SC002,26,R002,20.48
SC002,27,R003,0.0
SC002,28,R004,0.0
SC002,29,R005,0.0
SC003,0,S001,0.0
SC003,1,S002,0.0
SC003,2,S003,0.0
SC003,3,S004,0.0
SC003,4,S005,0.0
SC003,5,M001,0.0
SC003,6,M002,0.0
SC003,7,M003,0.0
SC003,8,M004,0.0
SC003,9,M005,0.0
SC003,10,P001,18.0
SC003,11,P002,0.0
SC003,12,P003,0.0
SC003,13,P004,0.0
SC003,14,P005,0.0
SC003,15,W001,14.4
SC003,16,W002,0.0
SC003,17,W003,0.0
SC003,18,W004,0.0
SC003,19,W005,0.0
SC003,20,D001,0.0
SC003,21,D002,11.52
SC003,22,D003,0.0
SC003,23,D004,0.0
SC003,24,D005,0.0
SC003,25,R001,0.0
SC003,26,R002,9.22
SC003,27,R003,0.0
SC003,28,R004,0.0
SC003,29,R005,0.0
SC004,0,S001,0.0
SC004,1,S002,0.0
SC004,2,S003,0.0
SC004,3,S004,0.0
SC004,4,S005,0.0
SC004,5,M001,0.0
SC004,6,M002,0.0
SC004,7,M003,0.0
SC004,8,M004,0.0
SC004,9,M005,0.0
SC004,10,P001,20.0
SC004,11,P002,0.0
SC004,12,P003,0.0
SC004,13,P004,0.0
SC004,14,P005,0.0
SC004,15,W001,16.0
SC004,16,W002,0.0
SC004,17,W003,0.0
SC004,18,W004,0.0
SC004,19,W005,0.0
SC004,20,D001,0.0
SC004,21,D002,12.8
SC004,22,D003,0.0
SC004,23,D004,0.0
SC004,24,D005,0.0
SC004,25,R001,0.0
SC004,26,R002,10.24
SC004,27,R003,0.0
SC004,28,R004,0.0
SC004,29,R005,0.0
SC005,0,S001,0.0
SC005,1,S002,0.0
SC005,2,S003,0.0
SC005,3,S004,0.0
SC005,4,S005,0.0
SC005,5,M001,0.0
SC005,6,M002,0.0
SC005,7,M003,0.0
SC005,8,M004,0.0
SC005,9,M005,0.0
SC005,10,P001,10.0
SC005,11,P002,0.0
SC005,12,P003,0.0
SC005,13,P004,0.0
SC005,14,P005,0.0
SC005,15,W001,8.0
SC005,16,W002,0.0
SC005,17,W003,0.0
SC005,18,W004,0.0
SC005,19,W005,0.0
SC005,20,D001,0.0
SC005,21,D002,6.4
