scenario_id,node_id,target_delay,risk
SC001,S001,0.0,Low
SC001,S002,0.0,Low
SC001,S003,0.0,Low
SC001,S004,0.0,Low
SC001,S005,0.0,Low
SC001,M001,0.0,Low
SC001,M002,0.0,Low
SC001,M003,0.0,Low
SC001,M004,0.0,Low
SC001,M005,0.0,Low
SC001,P001,30.0,Critical
SC001,P002,0.0,Low
SC001,P003,0.0,Low
SC001,P004,0.0,Low
SC001,P005,0.0,Low
SC001,W001,21.0,Critical
SC001,W002,0.0,Low
SC001,W003,0.0,Low
SC001,W004,0.0,Low
SC001,W005,0.0,Low
SC001,D001,0.0,Low
SC001,D002,13.5,High
SC001,D003,0.0,Low
SC001,D004,0.0,Low
SC001,D005,0.0,Low
SC001,R001,0.0,Low
SC001,R002,7.5,High
SC001,R003,0.0,Low
SC001,R004,0.0,Low
SC001,R005,0.0,Low
SC002,S001,0.0,Low
SC002,S002,0.0,Low
SC002,S003,0.0,Low
SC002,S004,0.0,Low
SC002,S005,0.0,Low
SC002,M001,0.0,Low
SC002,M002,0.0,Low
SC002,M003,0.0,Low
SC002,M004,0.0,Low
SC002,M005,0.0,Low
SC002,P001,40.0,Critical
SC002,P002,0.0,Low
SC002,P003,0.0,Low
SC002,P004,0.0,Low
SC002,P005,0.0,Low
SC002,W001,28.0,Critical
SC002,W002,0.0,Low
SC002,W003,0.0,Low
SC002,W004,0.0,Low
SC002,W005,0.0,Low
SC002,D001,0.0,Low
SC002,D002,18.0,Critical
SC002,D003,0.0,Low
SC002,D004,0.0,Low
SC002,D005,0.0,Low
SC002,R001,0.0,Low
SC002,R002,10.0,High
SC002,R003,0.0,Low
SC002,R004,0.0,Low
SC002,R005,0.0,Low
SC003,S001,0.0,Low
SC003,S002,0.0,Low
SC003,S003,0.0,Low
SC003,S004,0.0,Low
SC003,S005,0.0,Low
SC003,M001,0.0,Low
SC003,M002,0.0,Low
SC003,M003,0.0,Low
SC003,M004,0.0,Low
SC003,M005,0.0,Low
SC003,P001,18.0,Critical
SC003,P002,0.0,Low
SC003,P003,0.0,Low
SC003,P004,0.0,Low
SC003,P005,0.0,Low
SC003,W001,12.6,High
SC003,W002,0.0,Low
SC003,W003,0.0,Low
SC003,W004,0.0,Low
SC003,W005,0.0,Low
SC003,D001,0.0,Low
SC003,D002,8.1,High
SC003,D003,0.0,Low
SC003,D004,0.0,Low
SC003,D005,0.0,Low
SC003,R001,0.0,Low
SC003,R002,4.5,Medium
SC003,R003,0.0,Low
SC003,R004,0.0,Low
SC003,R005,0.0,Low
SC004,S001,0.0,Low
SC004,S002,0.0,Low
SC004,S003,0.0,Low
SC004,S004,0.0,Low
SC004,S005,0.0,Low
SC004,M001,0.0,Low
SC004,M002,0.0,Low
SC004,M003,0.0,Low
SC004,M004,0.0,Low
SC004,M005,0.0,Low
SC004,P001,20.0,Critical
SC004,P002,0.0,Low
SC004,P003,0.0,Low
SC004,P004,0.0,Low
SC004,P005,0.0,Low
SC004,W001,14.0,High
SC004,W002,0.0,Low
SC004,W003,0.0,Low
SC004,W004,0.0,Low
SC004,W005,0.0,Low
SC004,D001,0.0,Low
SC004,D002,9.0,High
SC004,D003,0.0,Low
SC004,D004,0.0,Low
SC004,D005,0.0,Low
SC004,R001,0.0,Low
SC004,R002,5.0,Medium
SC004,R003,0.0,Low
SC004,R004,0.0,Low
SC004,R005,0.0,Low
SC005,S001,0.0,Low
SC005,S002,0.0,Low
SC005,S003,0.0,Low
SC005,S004,0.0,Low
SC005,S005,0.0,Low
SC005,M001,0.0,Low
SC005,M002,0.0,Low
SC005,M003,0.0,Low
SC005,M004,0.0,Low
SC005,M005,0.0,Low
SC005,P001,10.0,High
SC005,P002,0.0,Low
SC005,P003,0.0,Low
SC005,P004,0.0,Low
SC005,P005,0.0,Low
SC005,W001,7.0,Medium
SC005,W002,0.0,Low
SC005,W003,0.0,Low
SC005,W004,0.0,Low
SC005,W005,0.0,Low
SC005,D001,0.0,Low
SC005,D002,4.5,Medium
SC005,D003,0.0,Low
SC005,D004,0.0,Low
SC005,D005,0.0,Low
SC005,R001,0.0,Low
SC005,R002,2.5,Medium
SC005,R003,0.0,Low
SC005,R004,0.0,Low
SC005,R005,0.0,Low
SC006,S001,0.0,Low
SC006,S002,0.0,Low
SC006,S003,0.0,Low
SC006,S004,0.0,Low
SC006,S005,0.0,Low
SC006,M001,0.0,Low
SC006,M002,0.0,Low
SC006,M003,0.0,Low
SC006,M004,0.0,Low
SC006,M005,0.0,Low
SC006,P001,0.0,Low
SC006,P002,25.0,Critical
SC006,P003,0.0,Low
SC006,P004,0.0,Low
SC006,P005,0.0,Low
SC006,W001,0.0,Low
SC006,W002,17.5,Critical
SC006,W003,0.0,Low
SC006,W004,0.0,Low
SC006,W005,0.0,Low
SC006,D001,0.0,Low
