source,target,relationship
S001,M004,SUPPLIES_TO
S002,M003,SUPPLIES_TO
S003,M002,SUPPLIES_TO
S004,M003,SUPPLIES_TO
S005,M001,SUPPLIES_TO
M001,P005,SHIPS_TO
M002,P002,SHIPS_TO
M003,P003,SHIPS_TO
M004,P004,SHIPS_TO
M005,P001,SHIPS_TO
P001,W001,DELIVERS_TO
P002,W002,DELIVERS_TO
P003,W003,DELIVERS_TO
P004,W004,DELIVERS_TO
P005,W005,DELIVERS_TO
W001,D002,DELIVERS_TO
W002,D002,DELIVERS_TO
W003,D003,DELIVERS_TO
W004,D004,DELIVERS_TO
W005,D001,DELIVERS_TO
D001,R001,DELIVERS_TO
D002,R002,DELIVERS_TO
D003,R003,DELIVERS_TO
D004,R004,DELIVERS_TO
D005,R005,DELIVERS_TO
