scenario_id,node_id,node_index,capacity,delay,risk_value,disruption,target_delay
SC001,S001,0,80,0,0,0,30
SC001,S002,1,90,0,0,0,30
SC001,S003,2,75,0,0,0,30
SC001,S004,3,85,0,0,0,30
SC001,S005,4,70,0,0,0,30
SC001,M001,5,100,0,0,0,30
SC001,M002,6,90,0,0,0,30
SC001,M003,7,95,0,0,0,30
SC001,M004,8,85,0,0,0,30
SC001,M005,9,80,0,0,0,30
SC001,P001,10,100,0,0,1,30
SC001,P002,11,95,0,0,0,30
SC001,P003,12,100,0,0,0,30
SC001,P004,13,90,0,0,0,30
SC001,P005,14,100,0,0,0,30
SC001,W001,15,80,0,0,0,30
SC001,W002,16,75,0,0,0,30
SC001,W003,17,85,0,0,0,30
SC001,W004,18,70,0,0,0,30
SC001,W005,19,90,0,0,0,30
SC001,D001,20,80,0,0,0,30
SC001,D002,21,75,0,0,0,30
SC001,D003,22,85,0,0,0,30
SC001,D004,23,70,0,0,0,30
SC001,D005,24,75,0,0,0,30
SC001,R001,25,70,0,0,0,30
SC001,R002,26,65,0,0,0,30
SC001,R003,27,75,0,0,0,30
SC001,R004,28,60,0,0,0,30
SC001,R005,29,65,0,0,0,30
SC002,S001,0,80,0,0,0,25
SC002,S002,1,90,0,0,0,25
SC002,S003,2,75,0,0,0,25
SC002,S004,3,85,0,0,0,25
SC002,S005,4,70,0,0,0,25
SC002,M001,5,100,0,0,0,25
SC002,M002,6,90,0,0,0,25
SC002,M003,7,95,0,0,0,25
SC002,M004,8,85,0,0,0,25
SC002,M005,9,80,0,0,0,25
SC002,P001,10,100,0,0,0,25
SC002,P002,11,95,0,0,1,25
SC002,P003,12,100,0,0,0,25
SC002,P004,13,90,0,0,0,25
SC002,P005,14,100,0,0,0,25
SC002,W001,15,80,0,0,0,25
SC002,W002,16,75,0,0,0,25
SC002,W003,17,85,0,0,0,25
SC002,W004,18,70,0,0,0,25
SC002,W005,19,90,0,0,0,25
SC002,D001,20,80,0,0,0,25
SC002,D002,21,75,0,0,0,25
SC002,D003,22,85,0,0,0,25
SC002,D004,23,70,0,0,0,25
SC002,D005,24,75,0,0,0,25
SC002,R001,25,70,0,0,0,25
SC002,R002,26,65,0,0,0,25
SC002,R003,27,75,0,0,0,25
SC002,R004,28,60,0,0,0,25
SC002,R005,29,65,0,0,0,25
SC003,S001,0,80,0,0,0,45
SC003,S002,1,90,0,0,0,45
SC003,S003,2,75,0,0,0,45
SC003,S004,3,85,0,0,0,45
SC003,S005,4,70,0,0,0,45
SC003,M001,5,100,0,0,0,45
SC003,M002,6,90,0,0,0,45
SC003,M003,7,95,0,0,0,45
SC003,M004,8,85,0,0,0,45
SC003,M005,9,80,0,0,0,45
SC003,P001,10,100,0,0,0,45
SC003,P002,11,95,0,0,0,45
SC003,P003,12,100,0,0,1,45
SC003,P004,13,90,0,0,0,45
SC003,P005,14,100,0,0,0,45
SC003,W001,15,80,0,0,0,45
SC003,W002,16,75,0,0,0,45
SC003,W003,17,85,0,0,0,45
SC003,W004,18,70,0,0,0,45
SC003,W005,19,90,0,0,0,45
SC003,D001,20,80,0,0,0,45
SC003,D002,21,75,0,0,0,45
SC003,D003,22,85,0,0,0,45
SC003,D004,23,70,0,0,0,45
SC003,D005,24,75,0,0,0,45
SC003,R001,25,70,0,0,0,45
SC003,R002,26,65,0,0,0,45
SC003,R003,27,75,0,0,0,45
SC003,R004,28,60,0,0,0,45
SC003,R005,29,65,0,0,0,45
SC004,S001,0,80,0,0,0,20
SC004,S002,1,90,0,0,0,20
SC004,S003,2,75,0,0,0,20
SC004,S004,3,85,0,0,0,20
SC004,S005,4,70,0,0,0,20
SC004,M001,5,100,0,0,0,20
SC004,M002,6,90,0,0,0,20
SC004,M003,7,95,0,0,0,20
SC004,M004,8,85,0,0,0,20
SC004,M005,9,80,0,0,0,20
SC004,P001,10,100,0,0,0,20
SC004,P002,11,95,0,0,0,20
SC004,P003,12,100,0,0,0,20
SC004,P004,13,90,0,0,1,20
SC004,P005,14,100,0,0,0,20
SC004,W001,15,80,0,0,0,20
SC004,W002,16,75,0,0,0,20
SC004,W003,17,85,0,0,0,20
SC004,W004,18,70,0,0,0,20
SC004,W005,19,90,0,0,0,20
SC004,D001,20,80,0,0,0,20
SC004,D002,21,75,0,0,0,20
SC004,D003,22,85,0,0,0,20
SC004,D004,23,70,0,0,0,20
SC004,D005,24,75,0,0,0,20
SC004,R001,25,70,0,0,0,20
SC004,R002,26,65,0,0,0,20
SC004,R003,27,75,0,0,0,20
SC004,R004,28,60,0,0,0,20
SC004,R005,29,65,0,0,0,20
SC005,S001,0,80,0,0,0,15
SC005,S002,1,90,0,0,0,15
SC005,S003,2,75,0,0,0,15
SC005,S004,3,85,0,0,0,15
SC005,S005,4,70,0,0,0,15
SC005,M001,5,100,0,0,0,15
SC005,M002,6,90,0,0,0,15
SC005,M003,7,95,0,0,0,15
SC005,M004,8,85,0,0,0,15
SC005,M005,9,80,0,0,0,15
SC005,P001,10,100,0,0,0,15
SC005,P002,11,95,0,0,0,15
SC005,P003,12,100,0,0,0,15
SC005,P004,13,90,0,0,0,15
SC005,P005,14,100,0,0,1,15
SC005,W001,15,80,0,0,0,15
SC005,W002,16,75,0,0,0,15
SC005,W003,17,85,0,0,0,15
SC005,W004,18,70,0,0,0,15
SC005,W005,19,90,0,0,0,15
SC005,D001,20,80,0,0,0,15
SC005,D002,21,75,0,0,0,15
SC005,D003,22,85,0,0,0,15
SC005,D004,23,70,0,0,0,15
SC005,D005,24,75,0,0,0,15
SC005,R001,25,70,0,0,0,15
SC005,R002,26,65,0,0,0,15
SC005,R003,27,75,0,0,0,15
SC005,R004,28,60,0,0,0,15
SC005,R005,29,65,0,0,0,15
SC006,S001,0,80,0,0,0,20
SC006,S002,1,90,0,0,0,20
SC006,S003,2,75,0,0,0,20
SC006,S004,3,85,0,0,0,20
SC006,S005,4,70,0,0,0,20
SC006,M001,5,100,0,0,0,20
SC006,M002,6,90,0,0,0,20
SC006,M003,7,95,0,0,0,20
SC006,M004,8,85,0,0,0,20
SC006,M005,9,80,0,0,0,20
SC006,P001,10,100,0,0,1,20
SC006,P002,11,95,0,0,0,20
SC006,P003,12,100,0,0,0,20
SC006,P004,13,90,0,0,0,20
SC006,P005,14,100,0,0,0,20
SC006,W001,15,80,0,0,0,20
SC006,W002,16,75,0,0,0,20
SC006,W003,17,85,0,0,0,20
SC006,W004,18,70,0,0,0,20
SC006,W005,19,90,0,0,0,20
SC006,D001,20,80,0,0,0,20
SC006,D002,21,75,0,0,0,20
SC006,D003,22,85,0,0,0,20
SC006,D004,23,70,0,0,0,20
SC006,D005,24,75,0,0,0,20
